id,work_name,work_siglum,work_short_code,work_notes,work_frbr
,AltVic,AltVic,135,Record created with rake task from Issue CEB-13,0
,Apoth,Apoth,000,Record created with rake task from Issue CEB-13,0
,AutHook,AutHook,105,Record created with rake task from Issue CEB-13,0
,AutJos,AutJos,104,Record created with rake task from Issue CEB-13,0
,EgDD,EgDD,194,Record created with rake task from Issue CEB-13,0
,EtED,EtED,195,Record created with rake task from Issue CEB-13,0
,EtRD,EtRD,196,Record created with rake task from Issue CEB-13,0
,EtSP,EtSP,200,Record created with rake task from Issue CEB-13,0
,Faust,Faust,102,Record created with rake task from Issue CEB-13,0
,GHerb-trans,GHerb-trans,186a,Record created with rake task from Issue CEB-13,0
,Heart,Heart,81,Record created with rake task from Issue CEB-13,0
,HWHiber,HWHiber,128,Record created with rake task from Issue CEB-13,0
,Ignati,Ignati,202,Record created with rake task from Issue CEB-13,0
,InAA,InAA,199,Record created with rake task from Issue CEB-13,0
,InLI,InLI,198,Record created with rake task from Issue CEB-13,0
,Macaron,Macaron,7,Record created with rake task from Issue CEB-13,0
,MHMary,MHMary,159,Record created with rake task from Issue CEB-13,0
,Sheaf,Sheaf,000,Record created with rake task from Issue CEB-13,0
,Stat,Stat,201,Record created with rake task from Issue CEB-13,0
